company,company_size,job_title,level,domain,yoe_total,yoe_at_company,total_compensation,location
Google,"258,750",software-engineer,L3,API Development (Back-End),2 yrs,2 yrs,"$62,757","Bengaluru, KA, India"
Google,"258,750",software-engineer,L5,API Development (Back-End),8 yrs,5 yrs,"$370,000","San Francisco, CA"
Google,"258,750",software-engineer,L5,Android,8 yrs,4 yrs,"$347,000","Kirkland, WA"
Google,"258,750",product-manager,Senior PM,Product,20 yrs,2 yrs,"$220,000","San Francisco, CA"
Google,"258,750",product-manager,Product Manager 1,Product,7 yrs,2 yrs,"$286,000","New York, NY"
Google,"258,750",product-manager,Product Manager 2,Product,15 yrs,3 yrs,"$202,687","Bengaluru, KA, India"
Google,"258,750",product-manager,Product Manager 1,Technical,3 yrs,2 yrs,"$221,874","New York, NY"
Google,"258,750",product-manager,Director,Product,25 yrs,3 yrs,"$1,515,000","San Bruno, CA"
Google,"258,750",product-manager,Director,Operations,19 yrs,1 yr,"$1,516,000","New York, NY"
Google,"258,750",product-manager,Product Manager 2,Technical,20 yrs,2 yrs,"$380,000","Sunnyvale, CA"
Google,"258,750",product-manager,Product Manager 1,Product,10 yrs,2 yrs,"$317,000","Mountain View, CA"
Google,"258,750",product-manager,Product Manager 1,Product,6 yrs,2 yrs,"$236,750","Kirkland, WA"
Google,"258,750",product-manager,Product Manager 2,Product,12 yrs,2 yrs,"$377,000","Mountain View, CA"
Google,"258,750",product-designer,L4,User Experience (UX),8 yrs,2 yrs,"$123,425","Sydney, NS, Australia"
Google,"258,750",product-designer,L5,User Experience (UX),12 yrs,12 yrs,"$497,000","Seattle, WA"
Google,"258,750",product-designer,L4,Interaction Design,10 yrs,2 yrs,"$258,000","San Francisco, CA"
Google,"258,750",product-designer,L4,User Experience (UX),5 yrs,1 yr,"$252,780","San Jose, CA"
Google,"258,750",product-designer,L4,User Experience (UX),8 yrs,4 yrs,"$165,000","Miami, FL"
Google,"258,750",product-designer,L4,User Experience (UX),2 yrs,2 yrs,"$250,000","San Francisco, CA"
Google,"258,750",product-designer,L3,User Experience (UX),1 yr,1 yr,"$179,000","San Francisco, CA"
Google,"258,750",product-designer,L3,Interaction Design,4 yrs,0 yrs,"$109,317","Toronto, ON, Canada"
Google,"258,750",product-designer,L3,Mobile,4 yrs,2 yrs,"$160,000","New York, NY"
Google,"258,750",product-designer,L4,Web,5 yrs,1 yr,"$200,000","Los Angeles, CA"
Google,"258,750",technical-program-manager,L4,Machine Learning,3 yrs,3 yrs,"$157,000","New York, NY"
Google,"258,750",technical-program-manager,L6,TPM,12 yrs,2 yrs,"$340,000","Seattle, WA"
Google,"258,750",technical-program-manager,L5,Security,10 yrs,2 yrs,"$200,701","Dublin, DN, Ireland"
Google,"258,750",technical-program-manager,L4,Security,12 yrs,2 yrs,"$272,600","New York, NY"
Google,"258,750",technical-program-manager,L5,Security,12 yrs,3 yrs,"$337,000","New York, NY"
Google,"258,750",technical-program-manager,L6,Tech,15 yrs,4 yrs,"$362,000","Irvine, CA"
Google,"258,750",technical-program-manager,L4,Security,7 yrs,0 yrs,"$265,200","Mountain View, CA"
Google,"258,750",technical-program-manager,L6,Strategy & Operations,15 yrs,5 yrs,"$423,000","San Francisco, CA"
Google,"258,750",technical-program-manager,L6,hidden,33 yrs,14 yrs,"$408,000","San Francisco, CA"
Google,"258,750",technical-program-manager,L8,TPM,20 yrs,2 yrs,"$783,000","Mountain View, CA"
Google,"258,750",sales,L6,Sales,8 yrs,8 yrs,"$403,000","New York, NY"
Google,"258,750",sales,L5,Strategy,10 yrs,0 yrs,"$280,500","New York, NY"
Google,"258,750",sales,L7,Cloud,10 yrs,3 yrs,"$597,000","New York, NY"
Google,"258,750",sales,L5,Ads,10 yrs,1 yr,"$182,944","Munich, BY, Germany"
Google,"258,750",sales,L3,Ads,3 yrs,1 yr,"$140,000","San Francisco, CA"
Google,"258,750",sales,L3,Sales,0 yrs,0 yrs,"$100,000","New York, NY"
Google,"258,750",sales,L7,Sales,21 yrs,3 yrs,"$610,000","Mountain View, CA"
Google,"258,750",sales,L5,Account Management,12 yrs,7 yrs,"$192,000","Dublin, DN, Ireland"
Google,"258,750",sales,L3,Ads,5 yrs,2 yrs,"$155,000","Los Angeles, CA"
Google,"258,750",software-engineering-manager,Manager (L6),Distributed Systems (Back-End),20 yrs,3 yrs,"$500,000","Sunnyvale, CA"
Google,"258,750",software-engineering-manager,Manager (L6),Distributed Systems (Back-End),19 yrs,2 yrs,"$685,000","Sunnyvale, CA"
Google,"258,750",software-engineering-manager,Manager,Data,7 yrs,5 yrs,"$400,000","Kirkland, WA"
Google,"258,750",software-engineering-manager,Manager (L6),Distributed Systems (Back-End),13 yrs,0 yrs,"$561,500","Sunnyvale, CA"
Google,"258,750",software-engineering-manager,Manager (L6),Full Stack,13 yrs,8 yrs,"$674,000","San Francisco, CA"
Google,"258,750",software-engineering-manager,Manager (L6),Distributed Systems (Back-End),15 yrs,0 yrs,"$569,700","Sunnyvale, CA"
Google,"258,750",software-engineering-manager,Senior Manager,Web,22 yrs,10 yrs,"$725,000","Mountain View, CA"
Google,"258,750",software-engineering-manager,Senior Manager,Full Stack,13 yrs,12 yrs,"$760,775","Mountain View, CA"
Google,"258,750",software-engineering-manager,Manager (L6),Cloud,5 yrs,2 yrs,"$481,000","Kirkland, WA"
Google,"258,750",software-engineering-manager,Manager (L6),Production,16 yrs,4 yrs,"$388,000","San Jose, CA"
Google,"258,750",data-scientist,L4,Google App,9 yrs,8 yrs,"$207,181","Oceanside, CA"
Google,"258,750",data-scientist,L6,hidden,11 yrs,11 yrs,"$374,000","Sunnyvale, CA"
