company,company_size,job_title,level,domain,yoe_total,yoe_at_company,total_compensation,location
shopee,"34,130",software-engineer,Senior Expert Software Engineer,Distributed Systems (Back-End),10 yrs,5 yrs,"$280,499","Singapore, SG, Singapore"
shopee,"34,130",software-engineer,Senior Expert Software Engineer,Distributed Systems (Back-End),10 yrs,5 yrs,"$325,551","Singapore, SG, Singapore"
shopee,"34,130",software-engineer,Senior Software Engineer,Distributed Systems (Back-End),10 yrs,4 yrs,"$153,342","Singapore, SG, Singapore"
shopee,"34,130",software-engineer,Expert Software Engineer,Distributed Systems (Back-End),10 yrs,4 yrs,"$126,941","Singapore, SG, Singapore"
shopee,"34,130",software-engineer,Senior Software Engineer,Web Development (Front-End),10 yrs,3 yrs,"$90,000","Shenzhen, GD, China"
shopee,"34,130",software-engineer,Senior Software Engineer,iOS,5 yrs,1 yr,"$49,084","Singapore, SG, Singapore"
shopee,"34,130",software-engineer,Software Engineer,ML / AI,3 yrs,2 yrs,"$74,289","Singapore, SG, Singapore"
shopee,"34,130",software-engineer,Senior Software Engineer,ML / AI,6 yrs,2 yrs,"$134,421","Singapore, SG, Singapore"
shopee,"34,130",software-engineer,Software Engineer,API Development (Back-End),2 yrs,2 yrs,"$78,001","Singapore, SG, Singapore"
shopee,"34,130",software-engineer,Senior Software Engineer,Testing (SDET),4 yrs,3 yrs,"$69,427","Shenzhen, GD, China"
shopee,"34,130",data-scientist,Expert,AI,5 yrs,5 yrs,"$116,194","Singapore, SG, Singapore"
shopee,"34,130",data-scientist,L1,-,0 yrs,0 yrs,"$49,256","Singapore, SG, Singapore"
shopee,"34,130",data-scientist,L3,Credit,1 yr,1 yr,"$84,000","Singapore, SG, Singapore"
shopee,"34,130",data-scientist,hidden,hidden,5-10 yrs,5-10 yrs,"$150,105","Singapore, SG, Singapore"
shopee,"34,130",data-scientist,Senior,Image Processing,5 yrs,2 yrs,"$122,417","Singapore, SG, Singapore"
shopee,"34,130",data-scientist,Senior,AI,8 yrs,1 yr,"$262,543","Singapore, SG, Singapore"
shopee,"34,130",data-scientist,L3,-,3 yrs,1 yr,"$83,549","Singapore, SG, Singapore"
shopee,"34,130",data-scientist,Senior,Analytics,3 yrs,2 yrs,"$85,129","Singapore, SG, Singapore"
shopee,"34,130",data-scientist,Senior Software Engineer,Machine learning(in search),6 yrs,3 yrs,"$84,035","Singapore, SG, Singapore"
shopee,"34,130",data-scientist,hidden,hidden,5-10 yrs,5-10 yrs,"$133,750","Singapore, SG, Singapore"
tiki,"2,000",software-engineer,L4,ML / AI,3 yrs,1 yr,"$25,000","Hanoi, HN, Vietnam"
tiki,"2,000",software-engineer,L3,Data,4 yrs,2 yrs,"$37,000","Ho Chi Minh City, HC, Vietnam"
tiki,"2,000",software-engineer,L3,Data,4 yrs,2 yrs,"$27,510","Ho Chi Minh City, HC, Vietnam"
tiki,"2,000",software-engineer,L3,Data,4 yrs,2 yrs,"$28,000","Ho Chi Minh City, HC, Vietnam"
tiki,"2,000",software-engineer,L2,Data,1 yr,1 yr,"$12,000","Ho Chi Minh City, HC, Vietnam"
tiki,"2,000",software-engineer,L3,Data,1 yr,1 yr,"$10,800","Hanoi, HN, Vietnam"
tiki,"2,000",software-engineer,L3,Data,1 yr,1 yr,"$9,120","Hanoi, HN, Vietnam"
grab,"36,080",software-engineer,G4,Distributed Systems (Back-End),7 yrs,2 yrs,"$134,766","Singapore, SG, Singapore"
grab,"36,080",software-engineer,G4,Android,7 yrs,3 yrs,"$110,000","Singapore, SG, Singapore"
grab,"36,080",software-engineer,G4,Web Development (Front-End),6 yrs,2 yrs,"$29,180","Ho Chi Minh City, HC, Vietnam"
grab,"36,080",software-engineer,G4,Distributed Systems (Back-End),2 yrs,2 yrs,"$101,024","Singapore, SG, Singapore"
grab,"36,080",software-engineer,hidden,hidden,11+ yrs,11+ yrs,"$274,509","Singapore, SG, Singapore"
grab,"36,080",software-engineer,G4,Distributed Systems (Back-End),7 yrs,1 yr,"$139,022","Singapore, SG, Singapore"
grab,"36,080",software-engineer,G4,API Development (Back-End),4 yrs,4 yrs,"$37,828","Bengaluru, KA, India"
grab,"36,080",software-engineer,G4,Full Stack,7 yrs,2 yrs,"$121,385","Singapore, SG, Singapore"
grab,"36,080",software-engineer,G4,Distributed Systems (Back-End),2 yrs,2 yrs,"$29,050","Kuala Lumpur, KL, Malaysia"
grab,"36,080",software-engineer,G4,API Development (Back-End),4 yrs,4 yrs,"$37,602","Bengaluru, KA, India"
grab,"36,080",data-scientist,G3,Data Science,1 yr,0 yrs,"$79,094","Singapore, SG, Singapore"
grab,"36,080",data-scientist,G3,Data,2 yrs,1 yr,"$59,515","Singapore, SG, Singapore"
grab,"36,080",data-scientist,G3,Product,2 yrs,2 yrs,"$52,906","Singapore, SG, Singapore"
grab,"36,080",data-scientist,G3,Analytics,4 yrs,2 yrs,"$61,724","Singapore, SG, Singapore"
grab,"36,080",data-scientist,G6,Analytics,10 yrs,5 yrs,"$211,154","Singapore, SG, Singapore"
grab,"36,080",data-scientist,G4,Analytics,5 yrs,2 yrs,"$109,304","Singapore, SG, Singapore"
grab,"36,080",data-scientist,G4,Geo,4 yrs,2 yrs,"$148,444","Singapore, SG, Singapore"
grab,"36,080",data-scientist,G5,new,8 yrs,0 yrs,"$155,008","Singapore, SG, Singapore"
grab,"36,080",data-scientist,G4,DS,1 yr,1 yr,"$101,114","Singapore, SG, Singapore"
grab,"36,080",data-scientist,G5,hidden,6 yrs,3 yrs,"$184,219","Singapore, SG, Singapore"
grab,"36,080",product-manager,G3,Technical,2 yrs,1 yr,"$65,000","Kuala Lumpur, KL, Malaysia"
grab,"36,080",product-manager,G5,Product,5 yrs,3 yrs,"$189,298","Singapore, SG, Singapore"
grab,"36,080",product-manager,G4,Grab Financial Group,5 yrs,2 yrs,"$102,481","Singapore, SG, Singapore"
grab,"36,080",product-manager,G4,Product,12 yrs,2 yrs,"$8,066","Singapore, SG, Singapore"
grab,"36,080",product-manager,G4,Product,8 yrs,2 yrs,"$118,448","Singapore, SG, Singapore"
grab,"36,080",product-manager,G3,Product,3 yrs,2 yrs,"$92,118","Singapore, SG, Singapore"
grab,"36,080",product-manager,G3,Product,1 yr,1 yr,"$85,021","Singapore, SG, Singapore"
grab,"36,080",product-manager,G3,Product,1 yr,1 yr,"$57,273","Singapore, SG, Singapore"
grab,"36,080",product-manager,hidden,hidden,5-10 yrs,5-10 yrs,"$343,312","Singapore, SG, Singapore"
grab,"36,080",product-manager,G4,Product,6 yrs,2 yrs,"$115,891","Singapore, SG, Singapore"
grab,"36,080",software-engineering-manager,Senior Engineering Manager,Data,18 yrs,3 yrs,"$224,162","Singapore, SG, Singapore"
grab,"36,080",software-engineering-manager,Senior Engineering Manager,Distributed Systems (Back-End),15 yrs,3 yrs,"$211,986","Singapore, SG, Singapore"
grab,"36,080",software-engineering-manager,Engineering Manager II,Testing (SDET),13 yrs,2 yrs,"$78,445","Bengaluru, KA, India"
