company,company_size,job_title,level,domain,yoe_total,yoe_at_company,base,stock,bonus,total_compensation,location
Logitech,7250,Software Engineer,I4,Testing (SDET),10,5,190000.0,10000.0,0.0,200000.0,San Francisco Bay Area
Logitech,7250,Software Engineer,I2,ML / AI,4,3,126000.0,0.0,7000.0,133000.0,"Vancouver, WA"
Logitech,7250,Software Engineer,I3,Testing (SDET),11,11,120000.0,5000.0,12000.0,137000.0,"San Francisco, CA"
Logitech,7250,Software Engineer,I4,Production,8,8,100000.0,10000.0,0.0,110000.0,"Hsin-chu, TP, Taiwan"
Logitech,7250,Software Engineer,I1,ML / AI,2,0,123100.0,0.0,0.0,123100.0,"New York, NY"
Logitech,7250,Software Engineer,I4,Android,13,1,185000.0,15000.0,18500.0,218500.0,"San Francisco, CA"
Logitech,7250,Software Engineer,I2,Web Development (Front-End),4,2,51500.0,0.0,4800.0,56300.0,"Cork, CK, Ireland"
Microsoft,182268,Software Engineer,60,Full Stack,2,2,24000.0,7200.0,2400.0,33600.0,"Noida, UP, India"
Microsoft,182268,Software Engineer,60,API Development (Back-End),4,2,25200.0,4000.0,3600.0,32800.0,"Hyderabad, TS, India"
Microsoft,182268,Software Engineer,Principal SDE,Full Stack,13,11,73400.0,38300.0,11700.0,123400.0,"Bengaluru, KA, India"
Microsoft,182268,Software Engineer,Principal SDE,Distributed Systems (Back-End),20,15,220000.0,65000.0,44000.0,329000.0,"Seattle, WA"
Microsoft,182268,Software Engineer,64,API Development (Back-End),10,5,192000.0,50000.0,30000.0,272000.0,"Redmond, WA"
Microsoft,182268,Software Engineer,Senior SDE,ML / AI,10,6,183400.0,32000.0,27200.0,242600.0,"Seattle, WA"
Microsoft,182268,Software Engineer,SDE II,Distributed Systems (Back-End),5,0,160000.0,10000.0,0.0,170000.0,"Seattle, WA"
Microsoft,182268,Software Engineer,SDE II,API Development (Back-End),6,3,143200.0,8000.0,15000.0,166200.0,"Reston, VA"
Microsoft,182268,Software Engineer,Senior SDE,Security,10,5,189000.0,40000.0,0.0,229000.0,"Seattle, WA"
Microsoft,182268,Software Engineer,62,Distributed Systems (Back-End),9,5,39600.0,2300.0,3600.0,45500.0,"Hyderabad, TS, India"
Microsoft,182268,Product Manager,63,Product,16,5,189000.0,22500.0,19000.0,230500.0,"Seattle, WA"
Microsoft,182268,Product Manager,62,Product,8,2,171100.0,26400.0,19000.0,216500.0,"West McLean, VA"
Microsoft,182268,Product Manager,65,Technical,20,13,210000.0,65000.0,40000.0,315000.0,"Redmond, WA"
Microsoft,182268,Product Manager,59,Product,2,1,127900.0,0.0,15000.0,142900.0,"San Francisco, CA"
Microsoft,182268,Product Manager,64,Product,4,4,105900.0,33100.0,27200.0,166200.0,"Montreal, QC, Canada"
Microsoft,182268,Product Manager,63,Technical,4,4,184700.0,45000.0,30000.0,259700.0,"Mountain View, CA"
Microsoft,182268,Product Manager,61,Product,3,3,115800.0,30000.0,15000.0,160800.0,"New York, NY"
Microsoft,182268,Product Manager,61,Technical,6,6,32000.0,8000.0,5000.0,45000.0,"Hyderabad, TS, India"
Microsoft,182268,Product Manager,64,Product,9,9,182700.0,40000.0,26000.0,248700.0,"Redmond, WA"
Microsoft,182268,Product Manager,64,Infrastructure,13,4,195000.0,70000.0,34000.0,299000.0,"Seattle, WA"
Microsoft,182268,Technical Program Manager,64,AI,11,8,101600.0,28500.0,14100.0,144200.0,"Beijing, BJ, China"
Microsoft,182268,Technical Program Manager,64,Security,16,16,183000.0,40000.0,32700.000000000004,255700.0,"Redmond, WA"
Microsoft,182268,Technical Program Manager,Senior Technical Program Manager,Sustainability,6,1,180000.0,85000.0,15000.0,280000.0,"Redmond, WA"
Microsoft,182268,Technical Program Manager,62,Ii,4,4,156900.0,22000.0,15000.0,193900.0,"Redmond, WA"
Microsoft,182268,Technical Program Manager,64,Azure,17,1,200000.0,200000.0,60000.0,460000.0,"Chicago, IL"
Microsoft,182268,Technical Program Manager,62,hidden,9,1,165500.0,13200.0,11400.0,190100.0,"San Francisco, CA"
Microsoft,182268,Technical Program Manager,Technical Program Manager II,Infra,4,4,69900.0,6400.0,7500.0,83800.0,"Dublin, DN, Ireland"
Microsoft,182268,Technical Program Manager,62,Capacity Planning,7,5,140800.0,0.0,22000.0,162800.0,"Nashville, TN"
Microsoft,182268,Technical Program Manager,Principal Technical Program Manager,Azure,15,2,215000.0,25000.0,40000.0,280000.0,"Zurich, ZH, Switzerland"
Microsoft,182268,Technical Program Manager,Senior Technical Program Manager,Tag,8,4,180000.0,60000.0,27000.0,267000.0,"Seattle, WA"
Microsoft,182268,Data Scientist,64,NLP,9,8,190000.0,30000.0,30000.0,250000.0,"Boston, MA"
Microsoft,182268,Data Scientist,64,hidden,15,6,196500.0,90000.0,45000.0,331500.0,"Seattle, WA"
Microsoft,182268,Data Scientist,62,Machine Learning,4,2,157000.0,35000.0,20000.0,212000.0,"Redmond, WA"
Microsoft,182268,Data Scientist,Senior Data Scientist,Gaming,4,2,170000.0,32000.0,25000.0,227000.0,"Seattle, WA"
Microsoft,182268,Data Scientist,60,ML,2,2,21600.0,7500.0,3600.0,32700.0,"Hyderabad, TS, India"
Microsoft,182268,Data Scientist,62,Security,2,2,161500.0,25600.0,22000.0,209100.0,"San Francisco, CA"
Microsoft,182268,Data Scientist,67,Azure,12,4,255000.0,250000.0,100000.0,605000.0,"Seattle, WA"
Microsoft,182268,Data Scientist,62,Recommendations,5,3,96400.0,0.0,0.0,96400.0,"Vancouver, BC, Canada"
Microsoft,182268,Data Scientist,Data Scientist II,ML,3,2,136200.0,0.0,0.0,136200.0,"Redmond, WA"
Microsoft,182268,Data Scientist,64,NLP,7,0,210000.0,20000.0,62500.0,292500.0,"Redmond, WA"
Microsoft,182268,Software Engineering Manager,64,Distributed Systems (Back-End),18,2,79200.0,40000.0,18000.0,137200.0,"Hyderabad, TS, India"
Microsoft,182268,Software Engineering Manager,64,Distributed Systems (Back-End),10,6,240000.0,100000.0,50000.0,390000.0,"San Francisco, CA"
Microsoft,182268,Software Engineering Manager,Senior Director,Distributed Systems (Back-End),20,18,250000.0,252000.0,0.0,502000.0,"Seattle, WA"
Microsoft,182268,Hardware Engineer,64,SoC Design,12,3,225000.0,40000.0,30000.0,295000.0,"San Francisco, CA"
Microsoft,182268,Hardware Engineer,Senior Hardware Engineer,ASIC Design,6,2,158000.0,38000.0,28000.0,224000.0,"Morrisville, NC"
Microsoft,182268,Hardware Engineer,Senior Hardware Engineer,Quality Assurance,20,5,92700.0,13900.0,0.0,106600.0,"Taipei, TP, Taiwan"
Microsoft,182268,Hardware Engineer,Hardware Engineer I,Analog,1,1,127900.0,150000.0,60000.0,337900.0,"Sunnyvale, CA"
Microsoft,182268,Hardware Engineer,Senior Hardware Engineer,RF/Wireless,13,4,175000.0,65000.0,23000.0,263000.0,"Redmond, WA"
Microsoft,182268,Hardware Engineer,Senior Hardware Engineer,ASIC Design,4,4,189000.0,0.0,0.0,189000.0,"San Francisco, CA"
Microsoft,182268,Hardware Engineer,Senior Hardware Engineer,ASIC Design,8,4,189000.0,20000.0,0.0,209000.0,"San Francisco, CA"
Microsoft,182268,Hardware Engineer,Senior Hardware Engineer,Verification,16,4,212000.0,32000.0,32000.0,276000.0,"San Francisco, CA"
Microsoft,182268,Hardware Engineer,Senior Hardware Engineer,Verification,8,4,190000.0,20000.0,26000.0,236000.0,"San Francisco, CA"
Microsoft,182268,Hardware Engineer,62,SoC Design,6,1,145000.0,22000.0,22000.0,189000.0,"Austin, TX"
Microsoft,182268,Solution Architect,Solution Architect II,solution,13,12,115100.0,0.0,0.0,115100.0,"Sydney, NS, Australia"
Microsoft,182268,Solution Architect,64,Azure Infra,22,3,185000.0,45000.0,35000.0,265000.0,"Los Angeles, CA"
Microsoft,182268,Solution Architect,Senior Solution Architect,Azure,11,8,154600.0,39000.0,26500.0,220100.0,"Minneapolis, MN"
Microsoft,182268,Solution Architect,Senior Solution Architect,Data & AI,9,1,186000.0,55000.0,20000.0,261000.0,"New York, NY"
Microsoft,182268,Solution Architect,Senior Solution Architect,Powerplatform,10,2,160000.0,20000.0,15000.0,195000.0,"Minneapolis, MN"
Microsoft,182268,Solution Architect,64,"Azure,Security",17,12,189000.0,35000.0,25000.0,249000.0,"Redmond, WA"
Microsoft,182268,Solution Architect,Principal Solution Architect,CSA,23,16,190000.0,65000.0,27000.0,282000.0,"Seattle, WA"
Microsoft,182268,Solution Architect,Solution Architect II,-,15,2,109000.0,21600.0,14800.0,145400.0,"Dallas, TX"
Microsoft,182268,Solution Architect,64,Cybersecurity,15,2,168000.0,83300.0,46500.0,297800.0,"Washington, DC"
Microsoft,182268,Solution Architect,62,Azure,9,6,99900.0,22000.0,12500.0,134400.0,"London, EN, United Kingdom"
Microsoft,182268,Program Manager,60,Supply Chain,3,3,112500.0,16000.0,15000.0,143500.0,"Seattle, WA"
Microsoft,182268,Program Manager,Senior Program Manager,hidden,10,10,114300.0,48000.0,17600.0,179900.0,"Vancouver, BC, Canada"
Microsoft,182268,Program Manager,60,Supply Chain,3,3,112500.0,15000.0,15000.0,142500.0,"Seattle, WA"
Microsoft,182268,Project Manager,4.2,Data Center,7,2,140000.0,25000.0,18000.0,183000.0,"Redmond, WA"
Microsoft,182268,Project Manager,L5,L5,10,5,120000.0,40000.0,20000.0,180000.0,"Austin, TX"
Microsoft,182268,Project Manager,65,Product,18,5,220000.0,70000.0,60000.0,350000.0,"Redmond, WA"
Microsoft,182268,Project Manager,L4,SW,5,2,97400.0,0.0,0.0,97400.0,"London, EN, United Kingdom"
Microsoft,182268,Project Manager,67,DS,16,4,255000.0,250000.0,0.0,505000.0,"Seattle, WA"
Microsoft,182268,Project Manager,Senior Project Manager,Business,12,5,161000.0,32000.0,30000.0,223000.0,"Redmond, WA"
Microsoft,182268,Project Manager,Project Manager II,Microsoft,4,4,140000.0,0.0,0.0,140000.0,"Redmond, WA"
Microsoft,182268,Project Manager,Project Manager II,Telecommunications,21,2,88400.0,13300.0,15700.0,117400.0,"London, EN, United Kingdom"
Microsoft,182268,Project Manager,Senior Project Manager,Social Media,10,0,155000.0,0.0,0.0,155000.0,"Los Angeles, CA"
Microsoft,182268,Business Analyst,Director,AI,11,0,202000.0,62500.0,0.0,264500.0,"Boston, MA"
Microsoft,182268,Business Analyst,Business Analyst II,Data Analyst,3,3,123000.0,0.0,0.0,123000.0,"Redmond, WA"
Microsoft,182268,Business Analyst,Principal Business Analyst,M&A,15,2,189000.0,76000.0,39000.0,304000.0,"Atlanta, GA"
Microsoft,182268,Business Analyst,66,Azure,20,0,255000.0,0.0,0.0,255000.0,"Seattle, WA"
