company,company_size,job_title,level,domain,yoe_total,yoe_at_company,base,stock,bonus,total_compensation,location
Logitech,7250,Software Engineer,I4,Testing (SDET),10 yrs,5 yrs,190000.0,10000.0,0.0,200000.0,San Francisco Bay Area
Logitech,7250,Software Engineer,I2,ML / AI,4 yrs,3 yrs,126000.0,0.0,7000.0,133000.0,"Vancouver, WA"
Logitech,7250,Software Engineer,I3,Testing (SDET),11+ yrs,11+ yrs,120000.0,5000.0,12000.0,137000.0,"San Francisco, CA"
Logitech,7250,Software Engineer,hidden,hidden,0-1 yrs,0-1 yrs,90000.0,0.0,0.0,90000.0,"Newark, CA"
Logitech,7250,Software Engineer,I4,Production,8 yrs,8 yrs,100000.0,10000.0,0.0,110000.0,"Hsin-chu, TP, Taiwan"
Logitech,7250,Software Engineer,I4,Android,13 yrs,1 yr,185000.0,15000.0,18500.0,218500.0,"San Francisco, CA"
Logitech,7250,Software Engineer,I3,Testing (SDET),5-10 yrs,5-10 yrs,120000.0,8000.0,12000.0,140000.0,"Newark, CA"
Microsoft,182268,Software Engineer,Principal SDE,Distributed Systems (Back-End),20 yrs,15 yrs,220000.0,65000.0,44000.0,329000.0,"Seattle, WA"
Microsoft,182268,Software Engineer,64,API Development (Back-End),10 yrs,5 yrs,192000.0,50000.0,30000.0,272000.0,"Redmond, WA"
Microsoft,182268,Software Engineer,Senior SDE,ML / AI,10 yrs,6 yrs,183400.0,32000.0,27200.0,242600.0,"Seattle, WA"
Microsoft,182268,Software Engineer,SDE II,Distributed Systems (Back-End),5 yrs,0 yrs,160000.0,10000.0,0.0,170000.0,"Seattle, WA"
Microsoft,182268,Software Engineer,SDE II,API Development (Back-End),6 yrs,3 yrs,143200.0,8000.0,15000.0,166244.0,"Reston, VA"
Microsoft,182268,Software Engineer,Senior SDE,Security,10 yrs,5 yrs,189000.0,40000.0,0.0,229000.0,"Seattle, WA"
Microsoft,182268,Software Engineer,62,Distributed Systems (Back-End),9 yrs,5 yrs,39600.0,2300.0,3600.0,45502.0,"Hyderabad, TS, India"
Microsoft,182268,Product Manager,63,Product,16 yrs,5 yrs,189000.0,22500.0,19000.0,230500.0,"Seattle, WA"
Microsoft,182268,Product Manager,65,Technical,20 yrs,13 yrs,210000.0,65000.0,40000.0,315000.0,"Redmond, WA"
Microsoft,182268,Product Manager,59,Product,2 yrs,1 yr,127900.0,0.0,15000.0,142900.0,"San Francisco, CA"
Microsoft,182268,Product Manager,64,Product,4 yrs,4 yrs,105900.0,33100.0,27200.0,166265.0,"Montreal, QC, Canada"
Microsoft,182268,Product Manager,61,Technical,6 yrs,6 yrs,32000.0,8000.0,5000.0,45000.0,"Hyderabad, TS, India"
Microsoft,182268,Product Manager,64,Infrastructure,13 yrs,4 yrs,195000.0,70000.0,34000.0,299000.0,"Seattle, WA"
Microsoft,182268,Technical Program Manager,64,Security,16 yrs,16 yrs,183000.0,40000.0,32700.000000000004,255700.0,"Redmond, WA"
Microsoft,182268,Technical Program Manager,Senior Technical Program Manager,Sustainability,6 yrs,1 yr,180000.0,85000.0,15000.0,280000.0,"Redmond, WA"
Microsoft,182268,Technical Program Manager,64,Azure,17 yrs,1 yr,200000.0,200000.0,60000.0,460000.0,"Chicago, IL"
Microsoft,182268,Technical Program Manager,62,hidden,9 yrs,1 yr,165500.0,13200.0,11400.0,190100.0,"San Francisco, CA"
Microsoft,182268,Technical Program Manager,Principal Technical Program Manager,Azure,15 yrs,2 yrs,215000.0,25000.0,40000.0,280000.0,"Zurich, ZH, Switzerland"
Microsoft,182268,Technical Program Manager,Senior Technical Program Manager,Tag,8 yrs,4 yrs,180000.0,60000.0,27000.0,267000.0,"Seattle, WA"
Microsoft,182268,Data Scientist,64,NLP,9 yrs,8 yrs,190000.0,30000.0,30000.0,250000.0,"Boston, MA"
Microsoft,182268,Data Scientist,64,hidden,15 yrs,6 yrs,196500.0,90000.0,45000.0,346500.0,"Seattle, WA"
Microsoft,182268,Data Scientist,62,Machine Learning,4 yrs,2 yrs,157000.0,35000.0,20000.0,212000.0,"Redmond, WA"
Microsoft,182268,Data Scientist,Senior Data Scientist,Gaming,4 yrs,2 yrs,170000.0,32000.0,25000.0,227000.0,"Seattle, WA"
Microsoft,182268,Data Scientist,67,Azure,12 yrs,4 yrs,255000.0,250000.0,100000.0,605000.0,"Seattle, WA"
Microsoft,182268,Data Scientist,62,Recommendations,5 yrs,3 yrs,96400.0,0.0,0.0,96424.0,"Vancouver, BC, Canada"
Microsoft,182268,Data Scientist,Data Scientist II,ML,3 yrs,2 yrs,136200.0,0.0,0.0,136200.0,"Redmond, WA"
Microsoft,182268,Data Scientist,64,NLP,7 yrs,0 yrs,210000.0,20000.0,62500.0,292500.0,"Redmond, WA"
Microsoft,182268,Software Engineering Manager,64,Distributed Systems (Back-End),10 yrs,6 yrs,240000.0,100000.0,50000.0,390000.0,"San Francisco, CA"
Microsoft,182268,Software Engineering Manager,Senior Director,Distributed Systems (Back-End),20 yrs,18 yrs,250000.0,252000.0,0.0,502000.0,"Seattle, WA"
Microsoft,182268,Product Designer,Product Designer II,Interaction Design,7 yrs,2 yrs,38400.0,10000.0,3100.0,51524.0,"Mexico, DF, Mexico"
Microsoft,182268,Product Designer,60,User Experience (UX),2 yrs,1 yr,139000.0,0.0,0.0,139000.0,"Sunnyvale, CA"
Microsoft,182268,Product Designer,Senior Product Designer,User Experience (UX),5 yrs,2 yrs,169000.0,43000.0,25000.0,237000.0,"Seattle, WA"
Microsoft,182268,Product Designer,60,User Experience (UX),3 yrs,1 yr,117000.0,0.0,0.0,117000.0,"Chicago, IL"
Microsoft,182268,Product Designer,60,Interaction Design,3 yrs,3 yrs,24000.0,0.0,0.0,24034.0,"Hyderabad, TS, India"
Microsoft,182268,Product Designer,Principal Product Designer,User Experience (UX),20 yrs,2 yrs,197000.0,78000.0,47200.0,322200.0,"Austin, TX"
Microsoft,182268,Product Designer,Product Designer II,User Experience (UX),4 yrs,2 yrs,28800.0,9600.0,2400.0,40868.0,"Hyderabad, TS, India"
Microsoft,182268,Hardware Engineer,64,SoC Design,12 yrs,3 yrs,225000.0,40000.0,30000.0,295000.0,"San Francisco, CA"
Microsoft,182268,Hardware Engineer,Senior Hardware Engineer,ASIC Design,6 yrs,2 yrs,158000.0,38000.0,28000.0,224000.0,"Morrisville, NC"
Microsoft,182268,Hardware Engineer,Senior Hardware Engineer,Quality Assurance,20 yrs,5 yrs,92700.0,13900.0,0.0,106610.0,"Taipei, TP, Taiwan"
Microsoft,182268,Hardware Engineer,Hardware Engineer I,Analog,1 yr,1 yr,127900.0,150000.0,60000.0,337900.0,"Sunnyvale, CA"
Microsoft,182268,Hardware Engineer,Senior Hardware Engineer,RF/Wireless,13 yrs,4 yrs,175000.0,65000.0,23000.0,263000.0,"Redmond, WA"
Microsoft,182268,Hardware Engineer,Senior Hardware Engineer,ASIC Design,4 yrs,4 yrs,189000.0,0.0,0.0,189000.0,"San Francisco, CA"
Microsoft,182268,Hardware Engineer,Senior Hardware Engineer,ASIC Design,8 yrs,4 yrs,189000.0,20000.0,0.0,209000.0,"San Francisco, CA"
Microsoft,182268,Hardware Engineer,Senior Hardware Engineer,Verification,16 yrs,4 yrs,212000.0,32000.0,32000.0,276000.0,"San Francisco, CA"
Microsoft,182268,Hardware Engineer,Senior Hardware Engineer,Verification,8 yrs,4 yrs,190000.0,20000.0,26000.0,236000.0,"San Francisco, CA"
Microsoft,182268,Hardware Engineer,62,SoC Design,6 yrs,1 yr,145000.0,22000.0,22000.0,189000.0,"Austin, TX"
Microsoft,182268,Sales,65,hidden,20 yrs,1 yr,150000.0,27000.0,0.0,297000.0,"Denver, CO"
Microsoft,182268,Sales,62,Sales,14 yrs,2 yrs,123400.0,17800.0,8900.0,165285.0,"London, EN, United Kingdom"
Microsoft,182268,Sales,62,Majors,16 yrs,3 yrs,128300.00000000001,16500.0,23000.0,236916.0,"Sydney, NS, Australia"
Microsoft,182268,Sales,64,Partner Development Manager,20 yrs,6 yrs,171000.0,40000.0,80000.0,291000.0,"Los Angeles, CA"
Microsoft,182268,Sales,62,A,3 yrs,3 yrs,149000.0,40000.0,52000.0,262000.0,"New York, NY"
Microsoft,182268,Sales,63,Cloud,15 yrs,7 yrs,140000.0,50000.0,110000.0,300000.0,"Seattle, WA"
Microsoft,182268,Sales,59,Tech,4 yrs,2 yrs,60000.0,2700.0,38200.0,100977.0,"Dublin, DN, Ireland"
Microsoft,182268,Sales,59,AI,20 yrs,8 yrs,109300.0,0.0,0.0,109343.0,"Toronto, ON, Canada"
Microsoft,182268,Sales,62,Support,7 yrs,7 yrs,104200.0,0.0,0.0,175329.0,"Sydney, NS, Australia"
Microsoft,182268,Solution Architect,Solution Architect II,solution,13 yrs,12 yrs,115100.0,0.0,0.0,115103.0,"Sydney, NS, Australia"
Microsoft,182268,Solution Architect,64,Azure Infra,22 yrs,3 yrs,185000.0,45000.0,35000.0,265000.0,"Los Angeles, CA"
Microsoft,182268,Solution Architect,Senior Solution Architect,Azure,11 yrs,8 yrs,154600.0,39000.0,26500.0,242238.0,"Minneapolis, MN"
Microsoft,182268,Solution Architect,Senior Solution Architect,Data & AI,9 yrs,1 yr,186000.0,55000.0,20000.0,261000.0,"New York, NY"
Microsoft,182268,Solution Architect,Senior Solution Architect,Powerplatform,10 yrs,2 yrs,160000.0,20000.0,15000.0,195000.0,"Minneapolis, MN"
Microsoft,182268,Solution Architect,64,"Azure,Security",17 yrs,12 yrs,189000.0,35000.0,25000.0,249000.0,"Redmond, WA"
Microsoft,182268,Solution Architect,Principal Solution Architect,CSA,23 yrs,16 yrs,190000.0,65000.0,27000.0,309000.0,"Seattle, WA"
Microsoft,182268,Solution Architect,Solution Architect II,-,15 yrs,2 yrs,109000.0,21600.0,14800.0,145400.0,"Dallas, TX"
Microsoft,182268,Solution Architect,64,Cybersecurity,15 yrs,2 yrs,168000.0,83300.0,46500.0,297851.0,"Washington, DC"
Microsoft,182268,Solution Architect,62,Azure,9 yrs,6 yrs,99900.0,22000.0,12500.0,146850.0,"London, EN, United Kingdom"
Microsoft,182268,Marketing,62,hidden,3 yrs,2 yrs,137500.0,0.0,13500.0,151000.0,"Redmond, WA"
Microsoft,182268,Marketing,63,Product Marketing,15 yrs,10 yrs,150000.0,30000.0,20000.0,200000.0,"Redmond, WA"
Microsoft,182268,Marketing,65,Business Planning,20 yrs,4 yrs,208000.0,60000.0,40000.0,308000.0,"Seattle, WA"
Microsoft,182268,Marketing,63,Events,10 yrs,7 yrs,163000.0,18000.0,20000.0,201000.0,"Redmond, WA"
Microsoft,182268,Marketing,hidden,hidden,11+ yrs,11+ yrs,203000.0,45000.0,40600.0,288600.0,"New York, NY"
Microsoft,182268,Marketing,62,Growth,7 yrs,2 yrs,138600.0,25000.0,15000.0,178600.0,"Seattle, WA"
Microsoft,182268,Marketing,62,Marketing,7 yrs,2 yrs,147000.0,50000.0,0.0,219000.0,"Redmond, WA"
Microsoft,182268,Project Manager,4.2,Data Center,7 yrs,2 yrs,140000.0,25000.0,18000.0,183000.0,"Redmond, WA"
Microsoft,182268,Project Manager,L5,L5,10 yrs,5 yrs,120000.0,40000.0,20000.0,180000.0,"Austin, TX"
Microsoft,182268,Project Manager,65,Product,18 yrs,5 yrs,220000.0,70000.0,60000.0,350000.0,"Redmond, WA"
Microsoft,182268,Project Manager,67,DS,16 yrs,4 yrs,255000.0,250000.0,0.0,505000.0,"Seattle, WA"
Microsoft,182268,Project Manager,Senior Project Manager,Business,12 yrs,5 yrs,161000.0,32000.0,30000.0,223000.0,"Redmond, WA"
Microsoft,182268,Project Manager,Project Manager II,Microsoft,4 yrs,4 yrs,140000.0,0.0,0.0,140000.0,"Redmond, WA"
Microsoft,182268,Project Manager,Project Manager II,Telecommunications,21 yrs,2 yrs,88400.0,13300.0,15700.0,117468.0,"London, EN, United Kingdom"
Microsoft,182268,Project Manager,Senior Project Manager,Social Media,10 yrs,0 yrs,155000.0,0.0,0.0,155000.0,"Los Angeles, CA"
Microsoft,182268,Financial Analyst,61,Finance,7 yrs,7 yrs,123000.0,18000.0,12000.0,153000.0,"Redmond, WA"
Microsoft,182268,Financial Analyst,59,Finance,1 yr,1 yr,100000.0,10000.0,8000.0,118000.0,"Seattle, WA"
Microsoft,182268,Financial Analyst,59,Finance,0 yrs,0 yrs,89000.0,0.0,0.0,89000.0,"Atlanta, GA"
Microsoft,182268,Financial Analyst,62,FP&A,15 yrs,4 yrs,161000.0,22000.0,14000.0,197000.0,"San Francisco, CA"
